,country,label_name,tfidf,country_label_count,num_country_labels,num_articles,label_count,label_count_project,idf,tf,lda
25,1,winery,2.9927170818079585,247,41793,4051,8,523,506.375,0.005910080635513125,1
26,1,change,2.9217503956575093,422,41793,4051,14,2902,289.35714285714283,0.010097384729500156,1
27,1,vine,2.849745172636566,294,41793,4051,10,673,405.1,0.007034670877898212,1
28,1,restaurant,2.7417373381051506,396,41793,4051,14,3109,289.35714285714283,0.009475270978393511,1
29,1,champagne,2.6925029975780097,250,41793,4051,9,530,450.1111111111111,0.0059818629914100445,1
30,1,blend,2.5955728896652017,241,41793,4051,9,501,450.1111111111111,0.005766515923719283,1
31,1,child,2.5201828057330173,390,41793,4051,15,2339,270.06666666666666,0.00933170626659967,1
32,1,city,2.4786413309132422,358,41793,4051,14,1484,289.35714285714283,0.008566027803699184,1
33,1,run,2.4578705935033547,355,41793,4051,14,915,289.35714285714283,0.008494245447802263,1
34,1,france,2.452331730194052,253,41793,4051,10,538,405.1,0.006053645347306965,1
35,1,age,2.4426387194027708,252,41793,4051,10,534,405.1,0.006029717895341325,1
36,1,barrel,2.384480654655086,246,41793,4051,10,521,405.1,0.005886153183547484,1
37,1,french,2.3747876438638045,294,41793,4051,12,677,337.5833333333333,0.007034670877898212,1
38,1,roman,2.365094633072524,244,41793,4051,10,517,405.1,0.005838298279616204,1
39,1,award,2.35217061868415,364,41793,4051,15,1055,270.06666666666666,0.008709592515493025,1
40,2,china,2.9007783312577833,138,16060,4051,12,1468,337.5833333333333,0.008592777085927771,1
41,2,oil,2.9007783312577833,138,16060,4051,12,1416,337.5833333333333,0.008592777085927771,1
42,2,white,2.879758198422582,137,16060,4051,12,1400,337.5833333333333,0.008530510585305106,1
43,2,group,2.5539461394769614,162,16060,4051,16,3524,253.1875,0.01008717310087173,1
44,2,brand,2.5224159402241595,160,16060,4051,16,2796,253.1875,0.009962640099626401,1
45,2,apple,2.5043986835082723,139,16060,4051,14,1493,289.35714285714283,0.008655043586550436,1
46,2,contain,2.5043986835082723,139,16060,4051,14,1522,289.35714285714283,0.008655043586550436,1
47,2,people,2.4751206413449567,157,16060,4051,16,2066,253.1875,0.009775840597758406,1
48,2,type,2.270174346201743,144,16060,4051,16,2781,253.1875,0.00896637608966376,1
49,2,film,1.8217448457174483,130,16060,4051,18,2458,225.05555555555554,0.00809464508094645,1
50,2,work,0.17341609589041096,11,16060,4051,16,1136,253.1875,0.0006849315068493151,1
51,2,book,0.14603460706560922,11,16060,4051,19,1071,213.21052631578948,0.0006849315068493151,1
52,2,series,0.10810354029532111,6,16060,4051,14,818,289.35714285714283,0.00037359900373599005,1
53,2,appear,0.10510066417600664,5,16060,4051,12,754,337.5833333333333,0.00031133250311332503,1
54,2,later,0.09459059775840598,6,16060,4051,16,855,253.1875,0.00037359900373599005,1
55,2,feature,0.09459059775840598,6,16060,4051,16,867,253.1875,0.00037359900373599005,1
56,2,day,0.09008628357943425,5,16060,4051,14,767,289.35714285714283,0.00031133250311332503,1
57,2,process,0.08902644494908797,6,16060,4051,17,1358,238.2941176470588,0.00037359900373599005,1
58,2,low,0.04204026567040265,2,16060,4051,12,802,337.5833333333333,0.00012453300124533,1
59,2,system,0.036034513431773704,2,16060,4051,14,806,289.35714285714283,0.00012453300124533,1
60,3,dessert,4.747694493887386,160,19503,4051,7,1480,578.7142857142857,0.008203866071886376,1
61,3,traditional,3.5726401066502596,172,19503,4051,10,1778,405.1,0.008819156027277855,1
62,3,potato,3.0212601324737918,160,19503,4051,11,1389,368.27272727272725,0.008203866071886376,1
63,3,acquire,2.9079628775060247,196,19503,4051,14,2261,289.35714285714283,0.010049735938060812,1
64,3,good,2.86642055068451,138,19503,4051,10,1034,405.1,0.007075834487002,1
65,3,dry,2.8214163632945355,163,19503,4051,12,1526,337.5833333333333,0.008357688560734246,1
66,3,chef,2.8041070604522385,135,19503,4051,10,979,405.1,0.00692201199815413,1
67,3,leave,2.596395426344665,125,19503,4051,10,893,405.1,0.006409270368661232,1
68,3,grow,2.596395426344665,125,19503,4051,10,918,405.1,0.006409270368661232,1
69,3,base,2.5574494949494953,197,19503,4051,16,3981,253.1875,0.010101010101010102,1
70,3,region,2.55485309952315,123,19503,4051,10,884,405.1,0.006306722042762652,1
71,3,fruit,2.4752303064485806,143,19503,4051,12,1094,337.5833333333333,0.007332205301748449,1
72,3,version,2.373847246943693,160,19503,4051,14,1448,289.35714285714283,0.008203866071886376,1
73,3,london,2.3471414654155773,113,19503,4051,10,780,405.1,0.005793980413269753,1
74,3,family,2.303710851011266,122,19503,4051,11,873,368.27272727272725,0.006255447879813362,1
75,3,club,2.264056811772548,109,19503,4051,10,724,405.1,0.0055888837614725935,1
76,3,kitchen,2.2092964718714603,117,19503,4051,11,835,368.27272727272725,0.005999077065066913,1
77,3,tea,2.1636628552872206,125,19503,4051,12,902,337.5833333333333,0.006409270368661232,1
78,3,bar,2.0424977353911364,118,19503,4051,12,842,337.5833333333333,0.006050351228016203,1
79,3,house,1.990569826864243,115,19503,4051,12,797,337.5833333333333,0.005896528739168333,1
80,4,take,10.360525779152365,301,29423,4051,4,2020,1012.75,0.010230092104815961,1
81,4,abalone,5.197473065289059,302,29423,4051,8,1792,506.375,0.010264079121775481,1
82,4,fry,4.604678124067718,301,29423,4051,9,1962,450.1111111111111,0.010230092104815961,1
83,4,salmon,4.604678124067718,301,29423,4051,9,1516,450.1111111111111,0.010230092104815961,1
